Shop Country	Group	Usage Time Type	Uninstall Reason Categories	Latest Shopify Plan Known to Findter	Usage Time	Shop Domain	Shop Email	Shop Name	Latest Active Product Count Known to Findter	First Install Date	Uninstalled Date	Uninstall Reason	Note
CO	Mới	Under 1 hour	Missing / Unsatisfactory Features		1m	ahvfyg-7g.myshopify.com	toryvic.colombia@gmail.com	ToryVic		15-08-26 4:30	2026-08-15 4:32	Otro (especifica); no me gusto	
BR	Cũ	Under 3 Months	Missing / Unsatisfactory Features	Grow	37d 20h 2m	old-orc.myshopify.com	felipe.sanches033@gmail.com	Old Orc	55008	08-07-26 5:48	2026-08-15 1:51	Not satisfied with app features	
NO	Cũ	Under 3 Months	Missing / Unsatisfactory Features	Basic	56d 3h 46m	aurora-jewellery-norge.myshopify.com	aurorajewellerynorge@gmail.com	Aurora Jewellery Norge	73	19-06-26 14:52	2026-08-14 18:39	Ikke fornøyd med appens funksjoner; Mobilversjonen fungerer ikke, har sagt ifra men ingenting ble gjort med det.	Khách này không nói đúng sự thât, mình có support họ rồi
CA	Cũ	Under 1 Year	Missing / Unsatisfactory Features	Grow-inactive	282d 17h 42m	game-breakers-ca.myshopify.com	info@gamebreakers.ca	Game Breakers		04-11-25 5:08	2026-08-13 22:51	Not satisfied with app features, Other (please specify)	
PE	Mới	Under 1 hour	Missing / Unsatisfactory Features		2m	fiw6cf-ds.myshopify.com	mafer.usa01@gmail.com	Mi tienda		13-08-26 2:24	2026-08-13 2:27	No me satisfacen las funciones de la app	
HK	Cũ	Under 3 Months	Missing / Unsatisfactory Features	Basic	45d 23h 51m	s2a2fd-0a.myshopify.com	myl2990309881@gmail.com	carblaze		26-06-26 10:20	2026-08-11 10:12	對 app 功能不滿意, 測試多個 app	
JP	Mới	Under 1 Month	Missing / Unsatisfactory Features	Grow	13d 10h 9m	94f1e2-98.myshopify.com	contact@zenkyumatcha.com	zenkyu matcha		27-07-26 12:11	2026-08-09 22:21	アプリの機能に満足できなかった	
FR	Mới	Under 1 hour	Missing / Unsatisfactory Features		23m	hdz1hc-vx.myshopify.com	contact@auxtroispattes.fr	Aux Trois Pattes		08-08-26 21:38	2026-08-08 22:02	Fonctionnalités de l’appli insatisfaisantes	
GB	Mới	Under 1 Day	Missing / Unsatisfactory Features		1h 18m	cocofennell.myshopify.com	cocofennell@gmail.com	Coco Fennell		08-08-26 4:21	2026-08-08 5:40	Not satisfied with app features	
US	Mới	Under 1 hour	Missing / Unsatisfactory Features	Grow	47m	ty0rsm-22.myshopify.com	riverboundsports@gmail.com	shop.riverboundsports.com		08-08-26 1:47	2026-08-08 2:35	Not satisfied with app features	
AU	Mới	Under 1 Month	Missing / Unsatisfactory Features	Grow	8d 19h 56m	perthpro.myshopify.com	info@elevateauto.com.au	Elevate Automotive		29-07-26 13:56	2026-08-07 9:53	Not satisfied with app features, Not using app now	
JP	Mới	Under 1 Week	Missing / Unsatisfactory Features	Basic	1d 7h 36m	062d0e-66.myshopify.com	my@decotamin.com	デコタミン		05-08-26 21:02	2026-08-07 4:39	アプリの機能に満足できなかった	
US	Mới	Under 1 hour	Missing / Unsatisfactory Features		11m	orbegozo-pre.myshopify.com	bill@fik.life	Orbegozo-pre		07-08-26 3:48	2026-08-07 4:00	No me satisfacen las funciones de la app; I need more metafield filters	
IN	Mới	Under 1 Day	Missing / Unsatisfactory Features	Basic	20h 55m	wrfz1m-br.myshopify.com	ajaysachdeva73@yahoo.com	Gemsdeva		31-07-26 20:30	2026-08-01 17:26	Not satisfied with app features	
US	Mới	Under 1 hour	Missing / Unsatisfactory Features		5m	digitires.myshopify.com	backoffice@digitire.com	Digitire		31-07-26 8:02	2026-07-31 8:08	Insatisfação com os recursos do app	
US	Mới	Under 1 hour	Missing / Unsatisfactory Features	Plus	9m	serv-ware.myshopify.com	nathan@foxxequipment.com	Serv-Ware		30-07-26 2:22	2026-07-30 2:32	Not satisfied with app features	
TR	Mới	Under 1 hour	Missing / Unsatisfactory Features		18m	wwyqr6-29.myshopify.com	machinistclothing@gmail.com	Machinist Clothing TR		29-07-26 21:10	2026-07-29 21:29	Uygulama özelliklerinden memnun değilim	"Khách embeded xong -> Banner báo vượt limit product
						Khách mua starter							
						Khách uninstall app							
						(Gói sub bị hủy)							
						Khách install lại app (Thấy ghi Plan: Trial)							
						Khách uninstall sau 2p tải lại"							
US	Mới	Under 1 hour	Missing / Unsatisfactory Features		11m	yj35pa-mk.myshopify.com	solesbyrbls@gmail.com	LuckyRbls		27-07-26 16:44	2026-07-27 16:56	Not satisfied with app features	
CA	Cũ	Under 1 Year	Missing / Unsatisfactory Features	Basic	217d 3h 55m	q6bvra-zv.myshopify.com	Shopjoolzco@gmail.com	JOOLZ Co.		20-12-25 1:53	2026-07-25 5:49	Other (please specify); not useful	
US	Mới	Under 1 Month	Other – Unclear	Basic	10d 22h 38m	b7zpj6-18.myshopify.com	info@mulights.com	MULIGHTS	7	04-08-26 18:04	2026-08-15 16:43	Other (please specify); no	
CL	Mới	Under 1 Day	Other – Unclear	Basic	1h 7m	kstv8n-vq.myshopify.com	dakinggraffstore@gmail.com	DAKING GRAFFSTORE	145	15-08-26 2:33	2026-08-15 3:41	Otro (especifica); no	
US	Cũ	Under 3 Months	Other – Unclear	Grow-inactive	33d 8h 53m	yvdqv0-e1.myshopify.com	Support@ModdedEv.com	ModdedEv.Com	47	11-07-26 6:25	2026-08-13 15:19	Other (please specify)	
US	Mới	Under 1 Week	Other – Unclear	Grow	4d 23h	beadworx-by-extol-accessories.myshopify.com	support@beadworx.us	Beadworx by Extol Accessories	382	06-08-26 22:30	2026-08-11 21:31	Other (please specify); Great support team.	
IN	Cũ	Under 3 Months	Other – Unclear	Development	32d 22h 7m	test-demo-sample.myshopify.com	abhinav.k@acodez.co.in	Test-Demo-sample		09-07-26 13:55	2026-08-11 12:03	Other (please specify); s	
DE	Mới	Under 1 hour	Other – Unclear		1m	cnagp9-57.myshopify.com	info@myhome24.shop	Teppichland Holzbachtal		10-08-26 22:49	2026-08-10 22:51	Sonstiges (bitte angeben); gd	
AE	Mới	Under 1 hour	Other – Unclear		2m	ncdfta-y1.myshopify.com	boldintme@gmail.com	Bold International		10-08-26 22:33	2026-08-10 22:36	Other (please specify); ..	
IN	Cũ	Under 3 Months	Other – Unclear	Basic	65d 22h 59m	coolcolors-store.myshopify.com	onlinesales@bafnaclothing.com	COOLCOLORS		05-06-26 19:10	2026-08-10 18:09	Other (please specify)	
GB	Cũ	Under 6 Months	Other – Unclear		153d 20h 46m	zcp1bt-d9.myshopify.com	innorel@innoreltech.com	INNOREL		09-03-26 17:12	2026-08-10 13:59	Other (please specify); 1	
IN	Cũ	Under 3 Months	Other – Unclear	Basic	54d 19h 39m	ccdyug-g2.myshopify.com	sowjanyastudios2@gmail.com	Sowjanya Studios		16-06-26 15:45	2026-08-10 11:25	Other (please specify); Expecting for free	
US	Mới	Under 1 Day	Other – Unclear	Basic	1h 32m	1m0y6z-71.myshopify.com	ademcaglar5002@hotmail.com	Mağazam		10-08-26 5:36	2026-08-10 7:09	Diğer (lütfen belirtin); 123123	
AU	Cũ	Under 6 Months	Other – Unclear	Basic-unpaid	170d 10h 54m	xqtbsw-qn.myshopify.com	hello@haezeltech.com	Haezel Tech		18-02-26 19:38	2026-08-08 6:33	Other (please specify); na	
LV	Mới	Under 1 Day	Other – Unclear	Basic	4h 47m	d473d3-c8.myshopify.com	flora.deko@inbox.lv	Skaistumam.lv		07-08-26 21:19	2026-08-08 2:07	Other (please specify); bed	
US	Mới	Under 1 Week	Other – Unclear	Grow	2d 3h 9m	63d5pp-zx.myshopify.com	accounting@rmsoapmarket.com	Story by RM		05-08-26 20:11	2026-08-07 23:21	Other (please specify); didnt need it	
IN	Mới	Under 1 hour	Other – Unclear	Basic	17m	qanu1d-sd.myshopify.com	info@amretrostore.com	AM RETRO STORE		07-08-26 1:23	2026-08-07 1:41	Other (please specify); hi	
CO	Mới	Under 1 Day	Other – Unclear	Basic	18h 18m	f8sxbq-vz.myshopify.com	ventasrepuestosplus@gmail.com	Repuestos Plus		06-08-26 3:58	2026-08-06 22:17	Otro (especifica); n	
US	Mới	Under 1 Month	Other – Unclear	Plus	7d 11h 43m	bss-labs-hvp00j8v.myshopify.com	tudv@operyn.ai	BSS Labs		29-07-26 9:04	2026-08-05 20:48	Other (please specify)	
CA	Cũ	Under 1 Year	Other – Unclear		189d 19h 35m	usqjag-yh.myshopify.com	web@sportsauxpucesrivesud.com	Sports aux Puces Rive-Sud		27-01-26 13:29	2026-08-05 9:05	Autre (veuillez préciser); tente pu	
AU	Mới	Under 1 hour	Other – Unclear		24m	qvbcr0-mj.myshopify.com	info@trueblueit.com.au	Sopnil's Store		04-08-26 10:34	2026-08-04 10:59	Other (please specify)	
US	Cũ	Under 3 Months	Other – Unclear	Grow	40d 2h 28m	pacificsolution.myshopify.com	supports@pacificsolution.com	Pacific Solution		25-06-26 4:16	2026-08-04 6:45	Other (please specify); na	
CA	Mới	Under 1 hour	Other – Unclear		3m	av1tr9-2j.myshopify.com	hungtang9@outlook.com	Borderline Bottles		04-08-26 5:01	2026-08-04 5:05	Other (please specify)	
GB	Cũ	Under 3 Months	Other – Unclear	Grow	53d 9h 34m	u19z1s-7g.myshopify.com	sales@spares4homes.co.uk	Spares4homes		11-06-26 16:31	2026-08-04 2:06	Other (please specify); you are fucking scammers offer a free app then a couple of months latter start charging you can fuck off i have uninstalled your app and will be reporting you to shopify and leaving you a shit review.sick of you scammers.	
RS	Mới	Under 1 hour	Other – Unclear		15m	j07sua-wm.myshopify.com	moretti.rs@hotmail.com	Moretti		03-08-26 21:05	2026-08-03 21:21	Other (please specify); 3652	
IN	Cũ	Under 6 Months	Other – Unclear	Development-inactive	112d 1h 47m	trending0325.myshopify.com	trending0325@gmail.com	trending0325		13-04-26 17:11	2026-08-03 18:59	Other (please specify)	
GB	Mới	Under 1 hour	Other – Unclear		10m	trg1in-tp.myshopify.com	admin@propulsioncards.com	Propulsion Cards		03-08-26 9:00	2026-08-03 9:11	Other (please specify)	
US	Mới	Under 1 hour	Other – Unclear		3m	h17ebz-0t.myshopify.com	nhbach.vn@gmail.com	THE AUTH BOUTIQUE		03-08-26 8:46	2026-08-03 8:50	Other (please specify)	
NZ	Mới	Under 1 Week	Other – Unclear	Grow	3d 18h 12m	mozzi-co-nz.myshopify.com	markp@maddgear.com	Mozzi		30-07-26 11:10	2026-08-03 5:23	Other (please specify); .	
PT	Cũ	Under 6 Months	Other – Unclear	Basic-inactive	160d 5h 25m	ea212d-vp.myshopify.com	rodristiago@gmail.com	SpeedParts - Loja Online		23-02-26 18:23	2026-08-02 23:49	Outro (especifique)	
GR	Mới	Under 1 Week	Other – Unclear	Basic	1d 12h 12m	ahtq9a-g1.myshopify.com	webseoad1@gmail.com	My Store		01-08-26 3:10	2026-08-02 15:23	Other (please specify); j	
US	Cũ	Under 1 Year	Other – Unclear	Grow	186d 11h 23m	caab5e-6d.myshopify.com	generationscollective3@gmail.com	Generations Collective		27-01-26 13:53	2026-08-02 1:17	Other (please specify)	
CH	Mới	Under 1 hour	Other – Unclear		38m	glidespring.myshopify.com	hello@blackmodea.com	BLACK MODEA		01-08-26 7:42	2026-08-01 8:21	Sonstiges (bitte angeben); .	
IT	Cũ	Under 1 Month	Other – Unclear	Basic	27d 4h 9m	eh91kv-41.myshopify.com	infomarcomasistore@gmail.com	Marco Masi Fashion Store		04-07-26 17:08	2026-07-31 21:18	Altro (specifica)	
RO	Mới	Under 1 hour	Other – Unclear		5m	chefevolution.myshopify.com	mihaela.chiriloaia@yahoo.com	Chefs Evolution		31-07-26 17:04	2026-07-31 17:10	Other (please specify)	
GB	Mới	Under 1 hour	Other – Unclear		3m	vg015v-ck.myshopify.com	wearemightyarrow@gmail.com	Born Arrow		31-07-26 5:00	2026-07-31 5:04	Other (please specify); .	
AE	Mới	Under 1 hour	Other – Unclear		7m	td0txd-fg.myshopify.com	jawdah786@gmail.com	JawdahShop AE		30-07-26 21:56	2026-07-30 22:04	Other (please specify); fgf	
BR	Mới	Under 1 hour	Other – Unclear		11m	9ccttw-m2.myshopify.com	willspaw.store@gmail.com	WillsPaw Store		30-07-26 21:50	2026-07-30 22:02	Outro (especifique); jk	
IT	Mới	Under 1 hour	Other – Unclear		12m	9eu6c0-ie.myshopify.com	info@protech-engineering.it	ProTech Engineering		28-07-26 14:57	2026-07-28 15:10	Altro (specifica); s	
IN	Cũ	Under 6 Months	Other – Unclear	Development-inactive	147d 17h 18m	matt-rs2.myshopify.com	mate.bako@rapidsearch.app	matt-rs2		02-03-26 20:01	2026-07-28 13:20	Other (please specify)	
GB	Mới	Under 1 hour	Other – Unclear		1m	g4hkah-n6.myshopify.com	info@culturacreative.com	Cultura Creative		24-07-26 22:13	2026-07-24 22:15	Other (please specify); x	
IN	Mới	Under 1 hour	Other – Unclear		1m	xhcixi-kj.myshopify.com	shreyasinghaniaofficial@gmail.com	MAMMABUB		24-07-26 14:12	2026-07-24 14:14	Other (please specify); G	
US	Mới	Under 1 hour	Other – Unclear		2m	kenmore-floor-care-us.myshopify.com	melissa.mccoy@cleva-na.com	Cleva US		24-07-26 1:43	2026-07-24 1:46	Other (please specify); .	
BG	Mới	Under 1 hour	Other – Unclear	Basic	43m	avtomixbg.myshopify.com	avtomixbg@gmail.com	avtomixbg		23-07-26 19:16	2026-07-23 19:59	Other (please specify)	
IN	Cũ	Under 1 Month	Other – Unclear	Plus	13d 7h 38m	meenabaazaar.myshopify.com	meenabazaar@mbgrp.net	Meenabazaar		10-07-26 11:54	2026-07-23 19:33	Other (please specify)	
US	Mới	Under 1 hour	Other – Unclear		0m	wadm-vinyl4u.myshopify.com	heattransfer4u@gmail.com	HEAT TRANSFER VINYL 4U		23-07-26 3:29	2026-07-23 3:30	Other (please specify)	
CA	Mới	Under 1 hour	Other – Unclear		2m	jared-vandermeer-wildlife.myshopify.com	jared.vandermeer@gmail.com	Jared VanderMeer Art Gallery & Studio		22-07-26 19:09	2026-07-22 19:12	Other (please specify); n/a	
US	Cũ	Under 1 Year	Other – Unclear	Grow-inactive	243d 3h 2m	playgosports-com.myshopify.com	randy@pandpimports.com	PlayGoSports.com		21-11-25 1:58	2026-07-22 5:01	Other (please specify)	
US	Cũ	Under 6 Months	Other – Unclear		154d 4h 25m	7ievwg-1s.myshopify.com	bonnerjustin150@gmail.com	Flash Kicks		17-02-26 5:08	2026-07-21 9:34	No reason provided	
DE	Cũ	Under 6 Months	Testing multiple apps	Basic-inactive	139d 6h 59m	njkruu-0t.myshopify.com	admin@elysee-diamonds.com	Elysee-Diamonds	60	29-03-26 21:27	2026-08-16 4:27	Testen mehrerer Apps	
US	Cũ	Under 3 Months	Testing multiple apps	Basic	32d 20h 15m	tdh10h-az.myshopify.com	marketing@discountdirectfurniture.com	Discount Direct Furniture | Mattresses	3912	14-07-26 5:01	2026-08-16 1:17	Testing multiple apps	
PL	Mới	Under 1 hour	Testing multiple apps		6m	ss0ssk-7r.myshopify.com	kontakt@drobiazgi3d.pl	Drobiazgi 3D		15-08-26 2:55	2026-08-15 3:02	Testowanie wielu aplikacji	
US	Mới	Under 1 Month	Testing multiple apps	Plus	16d 3h 13m	flute-center-of-new-york-2.myshopify.com	info@flutecenter.com	Flute Center	7771	29-07-26 22:43	2026-08-15 1:57	Testing multiple apps	
CH	Mới	Under 1 hour	Testing multiple apps		9m	xzym1g-ck.myshopify.com	verkauf@wild-pharma.com	Dr. Wild & Co AG		14-08-26 15:20	2026-08-14 15:30	Testen mehrerer Apps	
AU	Cũ	Under 6 Months	Testing multiple apps	Advanced	112d 1h 30m	d7210b-2.myshopify.com	webmaster@ozfarmer.com	OzFarmer	4566	24-04-26 13:41	2026-08-14 15:12	Testing multiple apps	
US	Mới	Under 1 Month	Testing multiple apps	Advanced	7d 2h 56m	blooming-koco.myshopify.com	hello@moidaus.com	MOIDA	5742	07-08-26 8:42	2026-08-14 11:39	Testing multiple apps	
US	Mới	Under 1 hour	Testing multiple apps	Basic	10m	coco-cabana-home.myshopify.com	sales@casalettra.com	Casa Lettra	0	14-08-26 5:28	2026-08-14 5:39	Testing multiple apps	
AU	Mới	Under 1 hour	Testing multiple apps		1m	aibjrt-qr.myshopify.com	ordershorseedenterprise@gmail.com	Horseed Enterprises		14-08-26 3:19	2026-08-14 3:21	Testing multiple apps	
US	Mới	Under 1 Day	Testing multiple apps	Advanced	20h 7m	b24ba1-36.myshopify.com	webstore@vanrydergames.com	Van Ryder Games	212	13-08-26 1:07	2026-08-13 21:15	Testing multiple apps	
HK	Cũ	Under 1 Month	Testing multiple apps	Basic	30d 1h 40m	rhtv0u-kf.myshopify.com	admin@mexmydress.com	MEXMY	7	14-07-26 14:49	2026-08-13 16:30	测试多个应用	
HK	Cũ	Under 1 Month	Testing multiple apps	Basic	30d 1h 5m	p1t99m-rt.myshopify.com	info@inewerfashion.com	INEWER	118	14-07-26 15:14	2026-08-13 16:20	测试多个应用	
US	Mới	Under 1 Day	Testing multiple apps	Basic	16h 40m	stable-shipping-store.myshopify.com	nayemmiah.cu@gmail.com	Stable-shipping-store	20	12-08-26 23:27	2026-08-13 16:08	Testing multiple apps	
CA	Mới	Under 1 Day	Testing multiple apps	Grow	1h 24m	puhvwb-uw.myshopify.com	info@gtacommercialrefrigeration.ca	GTA Commercial Refrigeration	225	12-08-26 23:10	2026-08-13 0:35	Testing multiple apps	
DE	Mới	Under 1 hour	Testing multiple apps		7m	70m9hb-t0.myshopify.com	ayerepaul@gmail.com	SONN-L		12-08-26 22:09	2026-08-12 22:17	Testen mehrerer Apps	
EG	Mới	Under 1 Day	Testing multiple apps	Basic	3h 18m	6a7f12-e5.myshopify.com	support@mishmash-store.com	MISHMASH	2502	12-08-26 15:18	2026-08-12 18:37	Testing multiple apps	
ES	Mới	Under 1 Month	Testing multiple apps	Basic	7d 15h 33m	ay8xhm-k3.myshopify.com	samuel.jaradelucas@gmail.com	L'Arôme Privé	208	05-08-26 0:54	2026-08-12 16:28	Probando varias apps	
US	Mới	Under 1 hour	Testing multiple apps	Basic	29m	wyq0my-6m.myshopify.com	thefrequencyllc@gmail.com	Ritual & Glow		12-08-26 12:21	2026-08-12 12:51	Testing multiple apps	
US	Mới	Under 1 hour	Testing multiple apps		11m	snize-dev21-apro.myshopify.com	andrey.prokofyev@searchanise.io	snize-dev21-apro		11-08-26 23:37	2026-08-11 23:49	Testing multiple apps	
ZA	Mới	Under 1 Month	Testing multiple apps		7d 4h 20m	662ba5-3.myshopify.com	Hello@runstore.co.za	RUN		04-08-26 16:31	2026-08-11 20:52	Testing multiple apps	
AU	Cũ	Under 6 Months	Testing multiple apps	Basic	100d 10h 59m	grevillerecords.myshopify.com	grevillerecords152@gmail.com	GrevilleRecords	37155	03-05-26 8:12	2026-08-11 19:12	Testing multiple apps	
IT	Cũ	Under 3 Months	Testing multiple apps	Basic-inactive	56d 19h 36m	nfzk3j-g3.myshopify.com	info@koilead.com	Koilead	4	15-06-26 20:49	2026-08-11 16:26	Test di più app	
PK	Cũ	Under 1 Year	Testing multiple apps		208d 16h 10m	be8af6-9d.myshopify.com	usmanraza5600@gmail.com	chindiwala.com		14-01-26 15:24	2026-08-11 7:35	Testing multiple apps	
ES	Mới	Under 1 hour	Testing multiple apps		7m	3a1myw-hp.myshopify.com	ssportingstore@gmail.com	Sporting Store		11-08-26 6:38	2026-08-11 6:46	Probando varias apps	
DK	Mới	Under 1 hour	Testing multiple apps		3m	p3gvcy-58.myshopify.com	classickitsdk@gmail.com	Classickits		11-08-26 1:21	2026-08-11 1:25	Tester flere apps	
US	Cũ	Under 1 Month	Testing multiple apps	Basic	27d 21h 8m	xsdt0m-zt.myshopify.com	altivramode@gmail.com	Altivra Mode		14-07-26 3:23	2026-08-11 0:32	Probando varias apps	
